,Title,Plot,genre
164,The Prophecy,"""Some people lose their faith because Heaven shows them too little,"" says Thomas Daggett. ""But how many people lose their faith because Heaven showed them too much?"" Daggett nearly became a priest; now he's a cop. He may want to put religion behind him, but one morning a weird, eyeless, hermaphroditic corpse turns up. Suddenly he is on a path that will put him right in the middle of a war in Heaven. And once again, Heaven will show him too much: gore, blood, charred flesh, living corpses and much worse. Even more central to the heavenly war effort is a young girl. This American Indian child has something Gabriel wants. And Gabriel is willing to kill her and anyone in his path - or even reanimate a corpse or two - to get it.",Action
165,Reckless,"On Christmas Eve, a regretful husband admits to his high-spirited wife that he has hired a contract killer to take her out. She immediately flees. A nice couple offers her shelter, but everyone have dark secrets in this wacky movie.",Comedy
169,Smoke,"The plot of this movie, like smoke itself, drifts and swirls ethereally. Characters and subplots are deftly woven into a tapestry of stories and pictures which only slowly emerges to our view. This film tries to convince us that reality doesn't matter so much as aesthetic satisfaction. In Auggie's New York smoke shop, day by day passes, seemingly unchanging until he teaches us to notice the little details of life. Paul Benjamin, a disheartened and broken writer, has a brush with death that is pivotal and sets up an unlikely series of events that afford him a novel glimpse into the life on the street which he saw, but did not truly perceive, every day. Finally, it's Auggie's turn to spin a tale....",Comedy
170,Something to Talk About,"Grace Bichon, who is managing her father's riding-stable, discovers that her husband Eddie deceives her with another woman. After confronting him in the middle of the night on the streets of their small home town, she decides to stay at her sister Emma Rae's house for a while, to make up her mind. Breaking out of her everyday life, she starts to question the authority of everyone, especially her father's, thus causing a stir in her parent's marriage, too.",Comedy
171,Species,A group of scientists try to track down and trap a killer alien seductress before she successfully mates with a human.,Action
172,Strange Days,"Set in the year 1999 during the last days of the old millennium, the movie tells the story of Lenny Nero, an ex-cop who now deals with data-discs containing recorded memories and emotions. One day he receives a disc which contains the memories of a murderer killing a prostitute. Lenny investigates and is pulled deeper and deeper in a whirl of blackmail, murder and rape. Will he survive and solve the case?",Action
176,"To Wong Foo Thanks for Everything, Julie Newmar","Three drag queens travel cross-country until their car breaks down, leaving them stranded in a small town.",Comedy
177,Under Siege 2: Dark Territory,"Seal Team Commander Casey Ryback has retired from the Navy since the conclusion of the events in the first movie, and is now a chef at the Mile High Cafe in Denver, Colorado. Ryback is taking his niece Sarah Ryback on vacation, to reconnect and commiserate with her after the death of her parents. They board a train traveling westbound through the Rocky Mountains from Denver to LA. With the help of gun-for-hire Marcus Penn a couple dozen of his mercenaries, ex-CIA brain (and mentally unstable) Travis Dane commandeers the train, takes the passengers and crew hostage, and sets up a mobile control center. He hacks into the CIA database and gains control of a Top-Secret defence satellite he designed during his Agency days that has just been deployed. Funded by various foreign interests, he stands to make 1 billion dollars for using the space weapon to blow up the Eastern seaboard by targeting a nuclear reactor housed beneath the Pentagon. Dane taunts the Joint Chiefs in the Pentagon Situation Room by using it to blow up a Chinese chemical weapons plant and the two stealth planes sent to intercept him, secure in the knowledge that he cannot be stopped because his location can't be traced as long as the train keeps moving, his location can't be fixed. Ryback, aided by young porter Bobby Zachs, is the only ones who can take out the bad guys, rescue the hostages, and prevent the destruction of the eastern seaboard before Dane can realise his dastardly plans!",Action
178,Unstrung Heroes,"Steven Lidz, unhappy with his home life since his mother got sick, goes and lives with his two crazy Uncles. There he changes and gets closer to his Uncles, but his parents want him home ...",Comedy
181,Waterworld,"The polar ice caps have melted, and the earth is covered by water. The remaining people travel the seas, in search of survival. Several different societies exist. The Mariner falls from his customary and solitary existence into having to care for a woman and a young girl while being pursued by the evil forces of the Deacon.",Action
187,Billy Madison,"Billy Madison is a 27 year-old man whose father Brian is the head of a major hotel chain. Even though he is groomed to replace his father who is about to retire, Billy is extremely immature and unmotivated in life. When Brian considers making Eric Gordon (whom Billy despises) his new replacement, Billy decides to prove to his father that he is capable of taking over. He must repeat grade school all over again (2 weeks for each grade) in order to take over the hotel empire. The further Billy progresses, the more Eric tries to derail Billy.",Comedy
189,Boys on the Side,"Jane is a night club singer, out of work. Robin is a quirky real estate agent looking for a ride-share to accompany her to California. Her advertisement is answered by Jane, who at first was uncertain about her. A stop in Pittsburgh picks up a third, Holly, escaping a violent and drug-dealing partner. Girls on the road, reaching understanding, respect, and care for each other. But this trio is different - Jane a lesbian, Robin suffering with AIDS, Holly running from her past, seeking one-night stands and a good man.",Comedy
